iter	Passed	Remaining
0	250	62312
1	471	58514
2	696	57372
3	920	56628
4	1149	56328
5	1384	56298
6	1610	55905
7	1826	55256
8	2092	56031
9	2350	56421
10	2603	56561
11	2892	57365
12	3182	58012
13	3455	58243
14	3813	59746
15	4119	60249
16	4523	61995
17	4837	62352
18	5124	62302
19	5417	62301
20	5691	62065
21	5964	61812
22	6259	61773
23	6676	62868
24	6971	62747
25	7257	62529
26	7567	62502
27	7826	62050
28	8085	61619
29	8365	61346
30	8650	61111
31	8925	60805
32	9235	60729
33	9496	60327
34	9752	59910
35	10067	59847
36	10365	59671
37	10622	59264
38	10867	58796
39	11117	58369
40	11356	57888
41	11600	57450
42	11867	57128
43	12158	56925
44	12426	56609
45	12689	56274
46	12986	56090
47	13238	55712
48	13515	55440
49	13789	55158
50	14046	54810
51	14297	54438
52	14537	54034
53	14793	53694
54	15049	53356
55	15297	52995
56	15591	52791
57	15873	52545
58	16146	52271
59	16429	52025
60	16709	51772
61	17044	51682
62	17312	51389
63	17597	51141
64	17890	50920
65	18174	50668
66	18463	50430
67	18719	50101
68	18973	49770
69	19266	49543
70	19550	49288
71	19800	48950
72	20048	48609
73	20308	48301
74	20553	47959
75	20788	47594
76	21032	47255
77	21278	46921
78	21520	46582
79	21767	46256
80	22023	45951
81	22278	45642
82	22522	45316
83	22766	44991
84	23051	44746
85	23311	44454
86	23570	44161
87	23859	43922
88	24217	43808
89	24487	43533
90	24756	43255
91	25054	43028
92	25335	42770
93	25578	42449
94	25800	42095
95	26044	41779
96	26289	41467
97	26543	41168
98	26783	40851
99	27066	40599
100	27305	40282
101	27543	39964
102	27772	39636
103	28014	39327
104	28264	39032
105	28519	38743
106	28748	38420
107	29013	38147
108	29282	37879
109	29615	37693
110	29890	37429
111	30174	37179
112	30510	36990
113	30843	36795
114	31153	36571
115	31423	36299
116	31722	36060
117	32003	35800
118	32270	35524
119	32532	35243
120	32823	34994
121	33077	34704
122	33346	34431
123	33667	34210
124	33938	33938
125	34200	33657
126	34454	33368
127	34720	33093
128	34972	32803
129	35226	32516
130	35490	32239
131	35751	31959
132	36005	31673
133	36249	31380
134	36508	31099
135	36786	30835
136	37054	30562
137	37323	30291
138	37580	30010
139	37839	29730
140	38080	29438
141	38322	29146
142	38569	28859
143	38823	28578
144	39078	28297
145	39338	28021
146	39570	27726
147	39818	27442
148	40063	27157
149	40304	26869
150	40534	26575
151	40765	26283
152	41009	25999
153	41240	25708
154	41478	25422
155	41717	25137
156	41954	24851
157	42201	24572
158	42462	24302
159	42687	24011
160	42912	23721
161	43147	23438
162	43379	23153
163	43608	22867
164	43829	22578
165	44055	22293
166	44289	22011
167	44531	21735
168	44763	21454
169	45003	21178
170	45239	20899
171	45467	20618
172	45748	20362
173	46019	20100
174	46284	19836
175	46516	19558
176	46790	19297
177	47038	19026
178	47298	18760
179	47557	18494
180	47840	18237
181	48099	17971
182	48373	17710
183	48640	17447
184	48888	17177
185	49141	16908
186	49401	16643
187	49661	16377
188	49919	16111
189	50157	15839
190	50458	15586
191	50814	15350
192	51111	15095
193	51424	14844
194	51718	14587
195	51989	14323
196	52235	14053
197	52475	13781
198	52708	13508
199	52938	13234
200	53184	12965
201	53445	12699
202	53691	12431
203	53934	12161
204	54177	11892
205	54416	11622
206	54660	11354
207	54915	11088
208	55138	10816
209	55386	10549
210	55639	10284
211	55888	10017
212	56138	9751
213	56427	9492
214	56710	9232
215	56948	8964
216	57215	8701
217	57453	8433
218	57730	8171
219	58126	7926
220	58410	7664
221	58659	7398
222	58896	7130
223	59139	6864
224	59380	6597
225	59658	6335
226	59911	6070
227	60141	5803
228	60384	5537
229	60642	5273
230	60879	5007
231	61110	4741
232	61354	4476
233	61609	4212
234	61864	3948
235	62122	3685
236	62363	3420
237	62643	3158
238	62932	2896
239	63191	2632
240	63442	2369
241	63749	2107
242	63995	1843
243	64262	1580
244	64552	1317
245	64798	1053
246	65050	790
247	65339	526
248	65604	263
249	65877	0
